002,pass:BON9,pass:BON6,pass:BON3,SCORE8,SCORE7,SCORE2,SCORE1,SCORE6,SCORE4,darklings,witches,nomads,chaosmagicians,119,97,125,60
005,pass:BON2,pass:BON1,pass:BON3,SCORE1,SCORE7,SCORE6,SCORE2,SCORE8,SCORE3,swarmlings,alchemists,dwarves,giants,113,100,130,132
03012017,pass:BON7,pass:BON9,pass:BON5,SCORE7,SCORE9,SCORE5,SCORE4,SCORE6,SCORE3,chaosmagicians,swarmlings,auren,cultists,117,120,147,108
04122016,pass:BON8,pass:BON2,pass:BON4,SCORE2,SCORE4,SCORE3,SCORE5,SCORE9,SCORE8,darklings,yetis,chaosmagicians,dragonlords,68,133,97,108
05012017,pass:BON2,pass:BON9,pass:BON6,SCORE2,SCORE5,SCORE4,SCORE1,SCORE7,SCORE6,halflings,darklings,chaosmagicians,swarmlings,104,118,137,123
07012017,pass:BON1,pass:BON7,pass:BON9,SCORE2,SCORE1,SCORE7,SCORE3,SCORE6,SCORE9,darklings,engineers,nomads,giants,145,112,124,121
09012017,pass:BON2,pass:BON6,pass:BON3,SCORE1,SCORE7,SCORE6,SCORE3,SCORE2,SCORE8,mermaids,dwarves,darklings,nomads,119,132,137,149
1100game003,pass:BON8,pass:BON4,pass:BON5,SCORE7,SCORE3,SCORE1,SCORE2,SCORE5,SCORE6,mermaids,chaosmagicians,witches,darklings,154,135,108,174
1100game005,pass:BON9,pass:BON6,pass:BON4,SCORE3,SCORE1,SCORE6,SCORE9,SCORE5,SCORE8,darklings,witches,mermaids,fakirs,121,148,160,137
111111111111111,pass:BON8,pass:BON2,pass:BON6,SCORE8,SCORE6,SCORE2,SCORE4,SCORE7,SCORE3,engineers,darklings,swarmlings,witches,134,114,120,99
1200leaguesetupeuro02,pass:BON8,pass:BON1,pass:BON2,SCORE1,SCORE5,SCORE2,SCORE8,SCORE6,SCORE3,giants,alchemists,swarmlings,nomads,131,125,118,132
1200leaguesetupeuro04,pass:BON8,pass:BON9,pass:BON3,SCORE4,SCORE1,SCORE6,SCORE9,SCORE2,SCORE8,engineers,chaosmagicians,alchemists,mermaids,140,132,129,146
17EU002,pass:BON2,pass:BON1,pass:BON6,SCORE2,SCORE6,SCORE9,SCORE7,SCORE4,SCORE5,dwarves,cultists,mermaids,nomads,114,96,141,101
17EU004,pass:BON8,pass:BON4,pass:BON5,SCORE8,SCORE9,SCORE1,SCORE7,SCORE4,SCORE3,halflings,chaosmagicians,nomads,swarmlings,132,134,111,152
17EU006,pass:BON7,pass:BON5,pass:BON3,SCORE1,SCORE3,SCORE9,SCORE2,SCORE5,SCORE7,darklings,mermaids,dwarves,cultists,119,117,116,106
